title,price,location,imageLink,adLink,model,kilometers,fuel,engine,transmission
Suzuki Wagon R  2022 Hybrid FX for Sale,3775000,Rawalpindi,https://cache1.pakwheels.com/ad_pictures/1308/tn_suzuki-wagon-r-hybrid-fx-2022-130829562.webp,https://www.pakwheels.com/used-cars/suzuki-wagon-r-2022-for-sale-in-rawalpindi-10678462,2022,48000,Hybrid,660,Automatic
Suzuki Every 6th Generation (Imported) 2020 PA for Sale,2530000,Rawalpindi,https://cache4.pakwheels.com/ad_pictures/1325/tn_suzuki-every-pa-2020-132537934.webp,https://www.pakwheels.com/used-cars/suzuki-every-2020-for-sale-in-rawalpindi-10787935,2020,51000,Petrol,660,Automatic
Toyota Raize  2021 Z for Sale,5700000,Lahore,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D",https://www.pakwheels.com/used-cars/toyota-raize-2021-for-sale-in-lahore-10653932,2021,56000,Petrol,1000,Automatic
Haval H6  2025 HEV for Sale,12250000,Lahore,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D",https://www.pakwheels.com/used-cars/haval-h6-2025-for-sale-in-lahore-10851269,2025,15,Hybrid,1500,Automatic
Toyota Fortuner  2021 2.7 G for Sale,13500000,Islamabad,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D",https://www.pakwheels.com/used-cars/toyota-fortuner-2021-for-sale-in-islamabad-10764175,2021,37241,Petrol,2700,Automatic
Suzuki Cultus  2014 EURO II for Sale,1400000,Karachi,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D",https://www.pakwheels.com/used-cars/suzuki-cultus-2014-for-sale-in-karachi-10851242,2014,75000,Petrol,1000,Manual
Toyota Corolla  2020 GLi Automatic 1.3 VVTi for Sale,4675000,Islamabad,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D",https://www.pakwheels.com/used-cars/toyota-corolla-2020-for-sale-in-islamabad-10837051,2020,85000,Petrol,1300,Automatic
Honda City 6th Generation 2022 1.2L CVT for Sale,4350000,Lahore,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D",https://www.pakwheels.com/used-cars/honda-city-2022-for-sale-in-lahore-10831569,2022,70000,Petrol,1200,Automatic
Toyota Harrier  2009  for Sale,7000000,Islamabad,"data:image/png;base64,R0lGODlhAQABAAD/ACwAAAAAAQABAAACADs%3D",https://www.pakwheels.com/used-cars/toyota-harrier-2009-for-sale-in-islamabad-10851241,2009,99000,Petrol,2500,Automatic
